Sector,SectorID,Segment,SegmentID,SubSegment,SubSegmentID,Examples,KeyMetrics,ValuationMetrics
Technology & Software,SEC1,Enterprise Software,SEG1,ERP,SUB1,Example of ERP,Example Metrics,Example Valuation
Technology & Software,SEC2,Enterprise Software,SEG2,CRM,SUB2,Example of CRM,Example Metrics,Example Valuation
Technology & Software,SEC3,Enterprise Software,SEG3,HRM,SUB3,Example of HRM,Example Metrics,Example Valuation
Technology & Software,SEC4,Cloud Computing,SEG4,IaaS,SUB4,Example of IaaS,Example Metrics,Example Valuation
Technology & Software,SEC5,Cloud Computing,SEG5,PaaS,SUB5,Example of PaaS,Example Metrics,Example Valuation
Technology & Software,SEC6,Cloud Computing,SEG6,SaaS,SUB6,Example of SaaS,Example Metrics,Example Valuation
Technology & Software,SEC7,AI & ML,SEG7,NLP,SUB7,Example of NLP,Example Metrics,Example Valuation
Technology & Software,SEC8,AI & ML,SEG8,Computer Vision,SUB8,Example of Computer Vision,Example Metrics,Example Valuation
Technology & Software,SEC9,AI & ML,SEG9,AI Analytics,SUB9,Example of AI Analytics,Example Metrics,Example Valuation
Technology & Software,SEC10,Cybersecurity,SEG10,Network Security,SUB10,Example of Network Security,Example Metrics,Example Valuation
Technology & Software,SEC11,Cybersecurity,SEG11,Endpoint Security,SUB11,Example of Endpoint Security,Example Metrics,Example Valuation
Technology & Software,SEC12,Cybersecurity,SEG12,Cloud Security,SUB12,Example of Cloud Security,Example Metrics,Example Valuation
Healthcare & Life Sciences,SEC13,Digital Health,SEG13,Telehealth,SUB13,Example of Telehealth,Example Metrics,Example Valuation
Healthcare & Life Sciences,SEC14,Digital Health,SEG14,Mobile Health,SUB14,Example of Mobile Health,Example Metrics,Example Valuation
Healthcare & Life Sciences,SEC15,Digital Health,SEG15,Health Analytics,SUB15,Example of Health Analytics,Example Metrics,Example Valuation
Healthcare & Life Sciences,SEC16,Biotech,SEG16,Gene Therapy,SUB16,Example of Gene Therapy,Example Metrics,Example Valuation
Healthcare & Life Sciences,SEC17,Biotech,SEG17,Molecular Diagnostics,SUB17,Example of Molecular Diagnostics,Example Metrics,Example Valuation
Healthcare & Life Sciences,SEC18,Biotech,SEG18,Bioinformatics,SUB18,Example of Bioinformatics,Example Metrics,Example Valuation
Healthcare & Life Sciences,SEC19,Medical Devices,SEG19,Diagnostic Devices,SUB19,Example of Diagnostic Devices,Example Metrics,Example Valuation
Healthcare & Life Sciences,SEC20,Medical Devices,SEG20,Wearable Tech,SUB20,Example of Wearable Tech,Example Metrics,Example Valuation
Healthcare & Life Sciences,SEC21,Medical Devices,SEG21,Surgical Robotics,SUB21,Example of Surgical Robotics,Example Metrics,Example Valuation
Financial Technology,SEC22,Digital Banking,SEG22,Neo Banking,SUB22,Example of Neo Banking,Example Metrics,Example Valuation
Financial Technology,SEC23,Digital Banking,SEG23,Open Banking,SUB23,Example of Open Banking,Example Metrics,Example Valuation
Financial Technology,SEC24,Digital Banking,SEG24,Embedded Finance,SUB24,Example of Embedded Finance,Example Metrics,Example Valuation
Financial Technology,SEC25,Payments,SEG25,Digital Payments,SUB25,Example of Digital Payments,Example Metrics,Example Valuation
Financial Technology,SEC26,Payments,SEG26,Cross-Border Payments,SUB26,Example of Cross-Border Payments,Example Metrics,Example Valuation
Financial Technology,SEC27,Payments,SEG27,BNPL,SUB27,Example of BNPL,Example Metrics,Example Valuation
Financial Technology,SEC28,WealthTech,SEG28,Robo-Advisory,SUB28,Example of Robo-Advisory,Example Metrics,Example Valuation
Financial Technology,SEC29,WealthTech,SEG29,Investment Platforms,SUB29,Example of Investment Platforms,Example Metrics,Example Valuation
Financial Technology,SEC30,WealthTech,SEG30,Personal Finance,SUB30,Example of Personal Finance,Example Metrics,Example Valuation
E-Commerce & Retail,SEC31,Online Marketplace,SEG31,Multi-Vendor Marketplace,SUB31,Example of Multi-Vendor Marketplace,Example Metrics,Example Valuation
E-Commerce & Retail,SEC32,Online Marketplace,SEG32,Social Commerce,SUB32,Example of Social Commerce,Example Metrics,Example Valuation
E-Commerce & Retail,SEC33,Online Marketplace,SEG33,Niche Marketplaces,SUB33,Example of Niche Marketplaces,Example Metrics,Example Valuation
E-Commerce & Retail,SEC34,Direct-to-Consumer,SEG34,Brand Commerce,SUB34,Example of Brand Commerce,Example Metrics,Example Valuation
E-Commerce & Retail,SEC35,Direct-to-Consumer,SEG35,Subscription Commerce,SUB35,Example of Subscription Commerce,Example Metrics,Example Valuation
E-Commerce & Retail,SEC36,Direct-to-Consumer,SEG36,Custom Products,SUB36,Example of Custom Products,Example Metrics,Example Valuation
E-Commerce & Retail,SEC37,RetailTech,SEG37,POS Systems,SUB37,Example of POS Systems,Example Metrics,Example Valuation
E-Commerce & Retail,SEC38,RetailTech,SEG38,Retail Analytics,SUB38,Example of Retail Analytics,Example Metrics,Example Valuation
E-Commerce & Retail,SEC39,RetailTech,SEG39,E-commerce SaaS,SUB39,Example of E-commerce SaaS,Example Metrics,Example Valuation
Clean Technology,SEC40,Renewable Energy,SEG40,Solar Technology,SUB40,Example of Solar Technology,Example Metrics,Example Valuation
Clean Technology,SEC41,Renewable Energy,SEG41,Wind Energy,SUB41,Example of Wind Energy,Example Metrics,Example Valuation
Clean Technology,SEC42,Renewable Energy,SEG42,Hydro Energy,SUB42,Example of Hydro Energy,Example Metrics,Example Valuation
Clean Technology,SEC43,Energy Storage,SEG43,Battery Technology,SUB43,Example of Battery Technology,Example Metrics,Example Valuation
Clean Technology,SEC44,Energy Storage,SEG44,Thermal Storage,SUB44,Example of Thermal Storage,Example Metrics,Example Valuation
Clean Technology,SEC45,Energy Storage,SEG45,Hydrogen Storage,SUB45,Example of Hydrogen Storage,Example Metrics,Example Valuation
Clean Technology,SEC46,Sustainable Materials,SEG46,Biodegradable Packaging,SUB46,Example of Biodegradable Packaging,Example Metrics,Example Valuation
Clean Technology,SEC47,Sustainable Materials,SEG47,Green Chemicals,SUB47,Example of Green Chemicals,Example Metrics,Example Valuation
